fold,model,period_start,period_end,f1_macro,balanced_accuracy
1,random_forest,1995-W17,1996-W21,0.6119533694054548,0.648032819211525
1,logistic_regression,1995-W17,1996-W21,0.4653824817894944,0.48132879378509463
1,sgd_classifier,1995-W17,1996-W21,0.47299785579418263,0.47546358554724055
2,random_forest,1996-W21,1997-W07,0.5865050441041535,0.6369187783693506
2,logistic_regression,1996-W21,1997-W07,0.4492352042057661,0.4743974710323573
2,sgd_classifier,1996-W21,1997-W07,0.4668645555263179,0.47580027932414887
3,random_forest,1997-W07,1997-W39,0.6051685839951638,0.6366672672735648
3,logistic_regression,1997-W07,1997-W39,0.4351458889835398,0.4519689590229497
3,sgd_classifier,1997-W07,1997-W39,0.4603575727534297,0.46142936201573226
4,random_forest,1997-W39,1998-W14,0.5638510942146406,0.6163113837855604
4,logistic_regression,1997-W39,1998-W14,0.4186238520291534,0.44495606939602517
4,sgd_classifier,1997-W39,1998-W14,0.4389992668747743,0.4438955211429204
5,random_forest,1998-W14,1998-W41,0.5748222642652147,0.6083964307304194
5,logistic_regression,1998-W14,1998-W41,0.40847361878480215,0.42896849795283404
5,sgd_classifier,1998-W14,1998-W41,0.426146369061138,0.42668209003076607
