target,mode,model,f1_macro,balanced_accuracy,baseline_f1_macro,relative_gain_vs_persistence
net,full,logistic_regression,0.36580884896726046,0.5122864805006149,0.21302468266722488,0.7172134439402328
net,quick,logistic_regression,0.43405440754265895,0.4368509724335403,0.32123384738826405,0.35121006416871337
net,full,random_forest,0.48196980626760566,0.4972263653227955,0.21302468266722488,1.2625068618011355
net,quick,random_forest,0.4917477033689403,0.4886172368588535,0.32123384738826405,0.5308091204180677
net,full,sgd_classifier,0.4196376010209192,0.40637391637218795,0.21302468266722488,0.9699013079928082
net,quick,sgd_classifier,0.4158592369845211,0.41502445705942703,0.32123384738826405,0.29456855298902135
spend,full,logistic_regression,0.3635175165615172,0.401963714188601,0.19855953042175312,0.8307734501052797
spend,quick,logistic_regression,0.3273621052092285,0.33902667719049195,0.1704344259406289,0.9207510654171802
spend,full,random_forest,0.4594634242372003,0.5355173590111918,0.19855953042175312,1.313983233447776
spend,quick,random_forest,0.41445485899776824,0.4212289892450911,0.1704344259406289,1.4317555371245492
spend,full,sgd_classifier,0.3869079066296698,0.42327631176273106,0.19855953042175312,0.9485738398345962
spend,quick,sgd_classifier,0.27197006623253517,0.3278147200478045,0.1704344259406289,0.5957460749583324
